K,Procedimento,Repetição ou elemento,N UFs comparadas,ARI
2,Subamostra de 80%,12,27,1.0
2,Subamostra de 80%,13,27,0.20245398773006135
2,Subamostra de 80%,14,27,0.5897002954833263
2,Subamostra de 80%,15,27,0.5897002954833263
2,Subamostra de 80%,16,27,0.20245398773006135
2,Subamostra de 80%,17,27,0.5897002954833263
2,Subamostra de 80%,18,27,1.0
2,Subamostra de 80%,19,27,1.0
2,Subamostra de 80%,2,27,0.5897002954833263
2,Subamostra de 80%,20,27,0.13482307916842345
2,Subamostra de 80%,21,27,0.5897002954833263
2,Subamostra de 80%,22,27,0.5897002954833263
2,Subamostra de 80%,23,27,-0.034928555227942845
2,Subamostra de 80%,24,27,1.0
2,Subamostra de 80%,25,27,0.7151621384750219
2,Subamostra de 80%,26,27,1.0
2,Subamostra de 80%,27,27,0.7150696496411988
2,Subamostra de 80%,28,27,0.8518650780768107
2,Subamostra de 80%,29,27,0.8518650780768107
2,Subamostra de 80%,3,27,1.0
2,Subamostra de 80%,30,27,0.8518650780768107
2,Subamostra de 80%,31,27,1.0
2,Subamostra de 80%,32,27,0.3732142857142857
2,Subamostra de 80%,33,27,1.0
2,Subamostra de 80%,34,27,0.20245398773006135
2,Subamostra de 80%,35,27,1.0
2,Subamostra de 80%,36,27,1.0
2,Subamostra de 80%,37,27,0.20245398773006135
2,Subamostra de 80%,38,27,1.0
2,Subamostra de 80%,39,27,0.5897002954833263
2,Subamostra de 80%,4,27,1.0
2,Subamostra de 80%,40,27,1.0
2,Subamostra de 80%,41,27,0.20245398773006135
2,Subamostra de 80%,42,27,1.0
2,Subamostra de 80%,43,27,1.0
2,Subamostra de 80%,44,27,0.5897002954833263
2,Subamostra de 80%,45,27,-0.034928555227942845
2,Subamostra de 80%,46,27,0.13482307916842345
2,Subamostra de 80%,47,27,0.3732142857142857
2,Subamostra de 80%,48,27,1.0
2,Subamostra de 80%,49,27,0.07766423357664233
2,Subamostra de 80%,5,27,0.13482307916842345
2,Subamostra de 80%,50,27,0.5897002954833263
2,Subamostra de 80%,51,27,1.0
2,Subamostra de 80%,52,27,1.0
2,Subamostra de 80%,53,27,0.20245398773006135
2,Subamostra de 80%,54,27,0.20245398773006135
2,Subamostra de 80%,55,27,1.0
2,Subamostra de 80%,56,27,0.07879985743446846
2,Subamostra de 80%,57,27,1.0
2,Subamostra de 80%,58,27,0.5897002954833263
2,Subamostra de 80%,59,27,1.0
2,Subamostra de 80%,6,27,1.0
2,Subamostra de 80%,60,27,1.0
2,Subamostra de 80%,61,27,0.5897002954833263
2,Subamostra de 80%,62,27,1.0
2,Subamostra de 80%,63,27,-0.034928555227942845
2,Subamostra de 80%,64,27,0.8518410286382233
2,Subamostra de 80%,65,27,1.0
2,Subamostra de 80%,66,27,-0.0017838030681412772
2,Subamostra de 80%,67,27,0.5897002954833263
2,Subamostra de 80%,68,27,1.0
