Ordem da relação,Relação,Variável X,Variável Y,UF retirada hipoteticamente,Região,N completo,N sem UF,Spearman completo (ρ),Spearman sem UF (ρ),Variação de ρ,Variação absoluta de ρ,Rank de influência na relação
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Amapá,Norte,27,26,-0.3141505150324065,-0.29372542744213187,0.020425087590274615,0.020425087590274615,13
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Distrito Federal,Centro-Oeste,27,26,-0.3141505150324065,-0.29435897435897435,0.01979154067343214,0.01979154067343214,14
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Acre,Norte,27,26,-0.3141505150324065,-0.2950931826339463,0.01905733239846019,0.01905733239846019,15
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Paraná,Sul,27,26,-0.3141505150324065,-0.2964609378257606,0.01768957720664588,0.01768957720664588,16
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Pará,Norte,27,26,-0.3141505150324065,-0.29714481542166776,0.017005699610738723,0.017005699610738723,17
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Rondônia,Norte,27,26,-0.3141505150324065,-0.29714481542166776,0.017005699610738723,0.017005699610738723,18
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Santa Catarina,Sul,27,26,-0.3141505150324065,-0.3005642034012037,0.013586311631202774,0.013586311631202774,19
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Mato Grosso,Centro-Oeste,27,26,-0.3141505150324065,-0.3244999192579548,-0.010349404225548309,0.010349404225548309,20
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Tocantins,Norte,27,26,-0.3141505150324065,-0.3046674689766467,0.00948304605575978,0.00948304605575978,21
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Mato Grosso do Sul,Centro-Oeste,27,26,-0.3141505150324065,-0.3053513465725539,0.008799168459852569,0.008799168459852569,22
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Espírito Santo,Sudeste,27,26,-0.3141505150324065,-0.3210805312784189,-0.006930016246012416,0.006930016246012416,23
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Maranhão,Nordeste,27,26,-0.3141505150324065,-0.3087707345520897,0.005379780480316787,0.005379780480316787,24
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),São Paulo,Sudeste,27,26,-0.3141505150324065,-0.3087707345520897,0.005379780480316787,0.005379780480316787,25
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Paraíba,Nordeste,27,26,-0.3141505150324065,-0.3176611432988831,-0.003510628266476634,0.003510628266476634,26
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Roraima,Norte,27,26,-0.3141505150324065,-0.31560951051116154,-0.001458995478755054,0.001458995478755054,27
6,Urbanização × presença em TI em 2022,Urbanização 2022 (%),Presença em TI 2022 (%),Rio Grande do Norte,Nordeste,27,26,-0.8319340655620092,-0.8947008547008547,-0.06276678913884548,0.06276678913884548,1
